Stock Index,Index,Industry,VWAP,General Index,NAV,P/E Ratio,Volumes Traded,Inventory Turnover,Covid Impact (Beta),Tracking Error,Dollar Exchange Rate,Put-Call Ratio,P/B Ratio,Stock Price
AA16,BSE,Information Tech,228.19,38182.08,99.86,185.68,9745556,4.49,0.23,0.0604,,1.09,2.9,1846.29187067668
AA17,JSE,Real Estate,276.4,55722,66.96,66.44,1243247,5.09,-0.43,0.0504,,1.2,2.55,448.893552268849
AA18,JSE,Materials,440.23,55722,83.17,169.52,12683344,8.3,0.03,0.0249,,0.74,4.21,1404.34292269956
AA19,S&P 500,Information Tech,322.54,,,,,5.12,0.23,0.0171,,0.95,4.74,197.692491206275
AA20,S&P 500,Healthcare,536.48,3351.28,39.33,190.39,13077121,6.66,0.78,0.0557,1,,7.11,742.145686692643
AA21,S&P 500,Information Tech,918.37,3351.28,23.03,113.43,3094828,3.23,0.23,0.0445,1,1.14,5.56,274.681248703973
AA22,BSE,Healthcare,312.35,38182.08,31.29,174.56,17083699,4.14,0.78,0.0226,74.9,0.82,7.52,539.891507285912
AA23,JSE,Healthcare,401.15,55722,43.27,107.31,8905750,6.59,0.78,0.0297,17.7,0.83,4.05,464.92264856744
AA24,S&P 500,Real Estate,419.41,3351.28,49.97,38.7,16212363,3.54,-0.43,0.046,1,0.7,3.2,200.69381478548
AA25,NYSE,Real Estate,518.28,12765.84,68.2,175,2136670,3.92,-0.43,0.0588,1,1.04,8.21,1187.93739179982
AA26,JSE,Information Tech,60.82,55722,68.59,104.48,7713963,3.49,0.23,0.0452,17.7,0.77,9.07,716.642014806199
AA27,BSE,Healthcare,962.74,38182.08,91.51,120.91,19690367,6.77,0.78,0.0426,74.9,1.21,8.88,1122.94184930809
AA28,NYSE,Information Tech,50.93,12765.84,42.36,16.54,13313558,5.27,0.23,0.0454,1,0.92,3.99,78.7896503257758
AA29,BSE,Energy,322.97,38182.08,49.75,112.59,2430637,5.88,0.11,0.0415,74.9,1.03,4.66,559.772145555179
AA30,NYSE,Materials,173.4,12765.84,38.5,127.53,7593239,2.72,0.03,0.052,1,0.97,3.85,488.861275579456
AA31,BSE,Information Tech,539.04,38182.08,71.88,57.49,14428998,8.13,0.23,0.0308,74.9,0.99,2.11,419.598674343328
AA32,S&P 500,Real Estate,153.56,3351.28,57.33,51.41,4138324,3.52,-0.43,0.0323,1,0.72,5,300.046719831583
AA33,JSE,Healthcare,416.74,55722,40.23,117.62,16480937,2.57,0.78,0.0514,17.7,1.09,0.76,472.837475581504
AA34,JSE,Energy,352.25,55722,76.87,106.59,18630011,6.7,0.11,0.0264,17.7,0.78,0.89,819.652754004776
AA35,JSE,Energy,854.99,55722,11.35,103.18,18113372,3.01,0.11,0.0272,17.7,0.8,7.5,127.635078228553
AA36,S&P 500,Healthcare,403.03,3351.28,72.01,67.57,8313056,7.19,0.78,0.0504,1,1.19,7.85,491.048563519332
AA37,NSE,Real Estate,180.69,11270.15,58.41,60.44,4363335,8.07,-0.43,0.0474,74.9,0.93,8.31,357.474019288302
AA38,NYSE,Materials,762.79,12765.84,63.99,143.34,19613952,4.42,0.03,0.0522,1,1.27,2.01,919.389185246146
AA39,JSE,Materials,330.41,55722,75.84,141.62,6422657,5.13,0.03,0.0231,17.7,0.77,0.98,1070.77939422642
AA40,BSE,Real Estate,196.56,38182.08,89.53,30.9,16119428,5.61,-0.43,0.0204,74.9,0.96,3.46,284.030769444874
AA41,NSE,Energy,150.38,11270.15,86.08,188.79,17369556,7.8,0.11,0.0549,74.9,0.83,6.13,1616.78246119013
AA42,JSE,Real Estate,896.92,55722,83.82,121.99,9474406,4.26,-0.43,0.0457,17.7,1.24,4.41,1033.31310995288
AA43,BSE,Information Tech,523.57,38182.08,83.67,48.73,8291526,6.55,0.23,0.0437,74.9,1.05,9.23,414.796914490217
AA44,NSE,Energy,192.11,11270.15,77.08,172.45,6909396,3.36,0.11,0.0272,74.9,0.6,6.18,1322.63223083152
AA45,S&P 500,Real Estate,941.25,3351.28,87.02,126.39,16175140,4.93,-0.43,0.0355,1,1.13,7.64,1113.65576645545
AA46,NSE,Real Estate,640.82,11270.15,36.33,100.57,7937750,8.23,-0.43,0.0358,74.9,0.87,6.23,368.820774835369
AA47,JSE,Healthcare,923.74,55722,80.43,199.16,5122283,6.2,0.78,0.0185,17.7,1.25,7.71,1607.10669846667
AA48,JSE,Real Estate,200.17,55722,13.81,32.79,11253460,5.14,-0.43,0.0238,17.7,1.1,1.52,52.5786123671779
AA49,S&P 500,Materials,828.72,3351.28,56.73,58.51,5597369,3.67,0.03,0.0493,1,1.23,1.35,345.155746174193
AA50,S&P 500,Real Estate,184.16,3351.28,20.63,194.48,14516560,4.19,-0.43,0.0225,1,0.96,2.56,392.664841877842
AA51,JSE,Real Estate,426.41,55722,45.23,177.44,9425355,5.24,-0.43,0.0396,17.7,0.9,5.56,796.18540286534
AA52,NSE,Real Estate,338.66,11270.15,63.47,78.93,15271194,7.48,-0.43,0.0177,74.9,0.88,5.5,503.933413724121
AA53,JSE,Information Tech,510.16,55722,41.51,147.67,12075889,6.65,0.23,0.0303,17.7,0.93,5.83,610.194777468917
AA54,NSE,Real Estate,776.43,11270.15,34.12,25.95,13956016,3.07,-0.43,0.0502,74.9,0.7,4.52,102.818026437488
AA55,BSE,Real Estate,721.25,38182.08,21.5,22.23,16582445,7.63,-0.43,0.0589,74.9,1.16,3.54,60.7197052491102
AA56,NYSE,Real Estate,120.71,12765.84,98.31,131.25,13685596,4.55,-0.43,0.0469,1,0.83,2.68,1287.62226458122
AA57,S&P 500,Energy,606.44,3351.28,54.84,39.53,9896759,5.3,0.11,0.0522,1,0.9,6.86,225.738222858913
AA58,S&P 500,Healthcare,358.09,3351.28,32.57,169.85,1244407,6.01,0.78,0.0224,1,1,7.91,547.485843574468
AA59,JSE,Healthcare,188.28,55722,42.72,97.45,16048807,4.25,0.78,0.0345,17.7,1.05,7.05,417.265971489188
AA60,S&P 500,Healthcare,929.81,3351.28,81.28,83.35,4023183,7.9,0.78,0.0183,1,0.77,3.6,694.760462549579
AA61,BSE,Energy,86.9,38182.08,29.7,144.93,18400557,2.67,0.11,0.0288,74.9,0.63,3.14,426.575481524718
AA62,NSE,Healthcare,579.94,11270.15,15.94,167.96,10620492,3.94,0.78,0.0537,74.9,0.84,1.76,264.06937433936
AA63,NSE,Real Estate,847.79,11270.15,58.87,59.03,4925634,7.12,-0.43,0.0333,74.9,0.78,1.74,361.612531676206
AA64,BSE,Information Tech,490.76,38182.08,33.48,60.18,6506471,7.48,0.23,0.0307,74.9,0.84,4.94,207.207848859102
AA65,JSE,Real Estate,705.42,55722,63.49,18.43,6985875,6.35,-0.43,0.0323,17.7,1.2,7.92,129.865654913014
AA66,BSE,Real Estate,668.65,38182.08,83.93,99.24,14521727,2.98,-0.43,0.0574,74.9,0.99,5.57,836.937281117002
AA67,S&P 500,Information Tech,719.6,3351.28,16.25,41.3,16321757,4.27,0.23,0.0189,1,1.23,1.69,78.2231282452968
AA68,NSE,Healthcare,678.31,11270.15,54.1,184.86,1740000,2.66,0.78,0.0598,74.9,0.67,5.41,996.02870595133
AA69,NSE,Healthcare,28.39,11270.15,66.77,24.8,17714288,4.38,0.78,0.0413,74.9,0.8,0.64,173.5642427602
AA70,NSE,Energy,14.46,11270.15,85.17,92.59,6663048,5.48,0.11,0.0585,74.9,0.91,8.85,789.711949840278
AA71,NSE,Materials,500.02,11270.15,27.78,131.08,19819335,5.21,0.03,0.0195,74.9,0.68,8.15,362.988399197577
AA72,NYSE,Energy,320.57,12765.84,28.42,76.08,17539715,5.91,0.11,0.0596,1,0.76,4.28,219.532231499721
AA73,NSE,Healthcare,581.05,11270.15,19.63,189.62,2477097,6.08,0.78,0.0379,74.9,1.08,3.89,366.365860638627
AA74,NYSE,Materials,589.3,12765.84,77.65,167.17,12824932,6.55,0.03,0.0447,1,1.24,1.49,1294.08436616383
AA75,NYSE,Healthcare,858.26,12765.84,31.72,118.1,9433780,3.77,0.78,0.0432,1,0.78,6.69,383.677641636322
AA76,NYSE,Information Tech,464.12,,,,,7.34,0.23,0.0236,1,0.97,1.89,115.719127958293
AA77,JSE,Real Estate,438.71,55722,93.68,182.37,4009191,6.65,-0.43,0.0606,17.7,0.67,5.63,1701.55917063757
AA78,NSE,Information Tech,67.47,11270.15,68.16,120.14,12774902,7.07,0.23,0.0409,74.9,0.61,4.72,817.33863904429
AA79,BSE,Information Tech,686.01,38182.08,99.3,131.99,7798946,6.93,0.23,0.0607,74.9,1.06,8.51,1311.82979357362
AA80,NYSE,Materials,314.89,12765.84,40.02,160.76,18485327,6.26,0.03,0.0238,1,1.12,3.99,638.231882077866
AA81,BSE,Energy,787.59,38182.08,10.75,152.97,19149872,3.79,,0.028,74.9,0.86,3.63,167.12050067501
AA82,NYSE,Energy,347.27,12765.84,42.17,80.88,12045575,5.87,,0.0587,1,1.15,3.42,343.938578753977
AA83,NYSE,Energy,,12765.84,77.84,140.18,13184810,4.56,,0.0608,1,1.08,9.09,1087.85378867617
AA84,BSE,Real Estate,,38182.08,66.67,12.58,14389698,5.61,,,74.9,1.24,1,104.154256272718
AA85,NYSE,Healthcare,,12765.84,43.43,159.62,16025439,5.99,,,1,1.08,1.88,688.628715211657
AA86,S&P 500,Energy,,3351.28,16.99,107.46,1103278,6.3,0.11,,1,0.78,8.05,189.825738262067
AA87,JSE,Materials,,55722,10.63,127.86,10450767,5.56,0.03,,17.7,0.77,8.93,149.046598123057
AA88,NSE,Materials,,11270.15,43.36,14.94,12243392,5.6,0.03,,74.9,0.95,4.67,74.0473719240237
AA89,BSE,Healthcare,660.7,38182.08,64.82,164.06,13568047,7.78,0.78,0.0556,74.9,0.99,4.5,1061.03457122478
AA90,S&P 500,Real Estate,249.11,3351.28,39.3,146.74,9572565,6.32,-0.43,0.0342,1,0.94,9.22,572.754464490712
AA91,NSE,Information Tech,501,11270.15,68.06,42.39,6421190,3.78,0.23,0.0332,74.9,0.87,4.64,296.031401810886
AA92,S&P 500,Materials,487.88,3351.28,89.26,74.9,13830382,4.3,0.03,0.0476,1,0.7,1.07,672.714185901759
AA93,NSE,Materials,419.7,11270.15,58.88,82.25,8360283,4.57,0.03,0.0453,74.9,0.96,3.77,487.304129860636
AA94,JSE,Energy,883.12,55722,10.76,182.11,19013748,7.04,0.11,0.0261,17.7,,0.88,200.617502294584
AA95,NYSE,Information Tech,154.48,12765.84,52.26,79.68,10044863,3.18,0.23,0.0242,1,,7.99,418.964698257213
AA96,NYSE,Healthcare,454.06,12765.84,81.06,142.7,17149060,4.16,0.78,0.0188,1,0.64,8.43,1154.05789393658
AA97,NSE,Healthcare,86.72,11270.15,58.14,198.97,10482434,7.58,0.78,0.0501,74.9,0.93,4.33,1147.56578202837
AA98,NSE,Healthcare,630.32,11270.15,66.97,133.18,15638084,6.55,0.78,0.0179,74.9,1.13,8.97,892.014009717036
AA99,JSE,Healthcare,117.24,55722,67.71,143.79,18726384,3.73,0.78,0.0205,17.7,0.78,3.07,969.842731019316
AA100,NYSE,Energy,584.25,12765.84,31.42,,16162201,7.21,0.11,0.0417,,1.02,5.13,110.933121030719
AA101,JSE,Information Tech,944.88,55722,14.17,,6277699,5.29,0.23,0.0388,,1.05,5,248.69377298395
AA102,S&P 500,Healthcare,663.63,3351.28,48.14,,17804408,2.85,0.78,0.0253,,0.6,7.35,741.636266278935
AA103,BSE,Healthcare,37.46,38182.08,48.99,,4059951,5.72,0.78,0.0238,,1.25,4.37,668.512236104398
AA104,NYSE,Information Tech,742.08,12765.84,49.73,,7421512,3.69,0.23,0.0555,,0.99,7.08,303.708652631383
AA105,NSE,Real Estate,637.96,11270.15,37.46,,18593535,7.23,-0.43,0.0235,,0.7,7.47,376.609214607727
AA106,NSE,Energy,719.13,11270.15,35.06,,9436216,4.17,0.11,0.022,,1.11,5.13,683.962612348955
AA107,NYSE,Materials,863.65,12765.84,40.99,82.41,9302386,6.07,0.03,0.0164,1,1.26,0.62,350.521915192402
AA108,S&P 500,Real Estate,290.1,3351.28,20.77,191.37,2140079,4.72,-0.43,0.0395,1,0.79,1.36,389.440024314923
AA109,NYSE,Healthcare,20.76,12765.84,41.69,182.38,7357720,7.12,0.78,0.0488,1,0.87,1.74,752.75364230849
AA110,NYSE,Energy,489.29,12765.84,79.83,187.89,2599758,3.84,0.11,0.0176,1,,6.15,1492.8814787227
AA111,JSE,Healthcare,61.55,55722,74.68,16.61,16340030,7,0.78,0.0285,17.7,,8.86,132.840621084776
AA112,S&P 500,Information Tech,154.34,3351.28,95.63,177.92,4885986,3.2,0.23,0.0225,1,1.11,2.15,1694.20363645662
AA113,S&P 500,Healthcare,591.45,3351.28,29.82,151.56,7876618,4,0.78,0.0455,1,1.09,6.69,449.807094042198
AA114,S&P 500,Energy,956.6,3351.28,55.03,10.43,6846701,5.69,0.11,0.0382,1,0.73,3.19,84.2089257212811
AA115,NYSE,Information Tech,516.61,12765.84,66.28,81.88,17816211,7.57,0.23,0.0298,1,1.13,0.65,546.432288032759
AA116,JSE,Information Tech,35.37,55722,40.65,97.65,804115,4.81,0.23,0.0559,17.7,0.66,1.56,397.654593966302
AA117,S&P 500,Information Tech,188,3351.28,11.02,41.5,11968951,7.81,0.23,0.0577,1,1,6.47,52.2679467424165
AA118,S&P 500,Materials,242.88,3351.28,91.91,125.98,17549542,7.54,0.03,0.0484,1,1,7.39,1155.92732568655
AA119,JSE,Information Tech,633.42,55722,31.26,121.27,9154687,7.45,0.23,0.0429,17.7,0.89,6.73,380.459426756327
AA120,NYSE,Energy,866.7,12765.84,12.99,71.89,708806,5.29,0.11,0.0346,1,0.72,5.97,107.535594476055
AA121,NSE,Materials,621.17,11270.15,27.93,74.83,1528636,2.78,0.03,0.0392,74.9,0.8,8.23,214.743671414807
AA122,NSE,Real Estate,703.88,11270.15,71.7,46.81,10041027,6.65,-0.43,0.0239,74.9,0.66,8.59,345.669315303808
AA123,JSE,Materials,154.59,55722,13.46,53.31,11620662,7.58,0.03,0.0352,17.7,0.84,3.99,77.0579097284358
AA124,S&P 500,Healthcare,203.29,3351.28,54.79,111.75,18272570,6.78,0.78,0.0477,1,0.7,4.07,611.836447440223
AA125,NYSE,Materials,357.42,12765.84,47.28,41.08,8698631,4.05,0.03,0.0413,1,1.27,6.32,201.038737743748
AA126,BSE,Healthcare,797.73,38182.08,46.11,145.91,10724757,4.39,0.78,0.0229,74.9,1.29,4.05,676.130535467724
AA127,NSE,Healthcare,259.67,11270.15,14.13,147.01,18001447,6.82,0.78,0.0574,74.9,0.7,5.39,204.27503538196
AA128,JSE,Real Estate,540.11,55722,27.39,86.52,5364864,4.74,-0.43,0.0597,17.7,0.75,4.76,240.514537329839
AA129,NSE,Energy,501.79,11270.15,54.42,155.65,4050103,7.47,0.11,0.0594,74.9,0.78,4.78,843.354641518088
AA130,BSE,Real Estate,370.87,38182.08,78.78,18.39,14810243,5.25,-0.43,0.061,74.9,0.96,9.26,153.960508922745
AA131,JSE,Energy,547.95,55722,87.33,20.74,12790546,4.87,0.11,0.0343,17.7,1.07,2.16,191.205069251782
AA132,JSE,Materials,151,55722,47.91,34.64,6791966,8.2,0.03,0.0509,17.7,1.25,8.42,172.940750010296
AA133,S&P 500,Materials,858.92,3351.28,29.46,99.45,12355763,4.76,0.03,0.0485,1,0.8,5.49,303.80997526925
AA134,NSE,Information Tech,589.07,11270.15,96.73,145.78,19419666,4.48,0.23,0.0465,74.9,1.17,2.86,1408.26464199288
AA135,NSE,Information Tech,334.24,11270.15,37.67,187.24,19881413,4.57,0.23,0.0522,74.9,1.13,6.29,697.682566127614
AA136,NSE,Information Tech,935.13,11270.15,87.39,106.51,16077834,5.15,0.23,0.045,74.9,1.14,7.7,946.109249379128
AA137,JSE,Real Estate,817.19,55722,63.43,95.27,18296909,4.85,-0.43,0.0386,17.7,0.83,2.65,613.309679562117
AA138,S&P 500,Healthcare,476.02,3351.28,89.83,157.92,6566812,6.13,0.78,0.0477,1,0.82,9.43,1414.53750575231
AA139,NSE,Materials,800.34,11270.15,66.1,65.79,7654654,6.58,0.03,0.0508,74.9,0.71,2.56,446.126123994442
AA140,BSE,Materials,298.61,38182.08,98.88,10.04,5766994,2.72,0.03,0.037,74.9,1.23,0.87,108.980322522956
AA141,S&P 500,Materials,727.48,3351.28,59.88,28.08,1926111,6.44,0.03,0.0449,1,0.8,1.72,180.67198472312
AA142,S&P 500,Information Tech,654.68,3351.28,50.41,19.14,663749,6.79,0.23,0.0441,1,0.91,8.48,108.268347395498
AA143,NYSE,Materials,243.16,12765.84,45.31,59.45,6026214,6.87,0.03,0.0448,1,0.87,4.08,274.068997517678
AA144,BSE,Energy,392.7,38182.08,34.18,184.04,4512760,4.8,0.11,0.0481,74.9,0.72,7.91,621.981592179389
AA145,JSE,Real Estate,340.6,55722,20.09,159.71,15787711,4.75,-0.43,0.0215,17.7,0.74,4.33,316.085219134257
AA146,JSE,Materials,541.56,55722,15.16,70.03,12166744,8.31,0.03,0.0613,17.7,0.81,6.29,111.472880065822
AA147,NYSE,Energy,297.66,12765.84,72.08,51,14461875,3.69,0.11,0.0562,1,0.82,2.23,373.259116520925
AA148,S&P 500,Energy,31.68,3351.28,48.58,78.38,15076754,8.12,0.11,0.0517,1,0.78,7.15,383.358776716158
AA149,BSE,Materials,315.58,38182.08,90.26,79.96,10055818,5.5,0.03,0.0581,74.9,0.96,4.19,724.522633378088
AA150,JSE,Healthcare,810.43,55722,35.14,53.31,16617633,6.49,0.78,0.041,17.7,0.62,6.61,200.417538205665
AA151,BSE,Materials,313.95,38182.08,93.05,63.24,15291201,2.88,0.03,0.0285,74.9,0.93,8.21,592.912858017975
AA152,NSE,Healthcare,436.25,11270.15,73.41,31.8,19488720,4.99,0.78,0.0412,74.9,1,1.74,241.661137665314
AA153,NYSE,Real Estate,289.43,12765.84,15.95,21.64,8590166,7.11,-0.43,0.057,1,1.1,3.28,43.0583045185435
AA154,JSE,Healthcare,739.14,55722,70.92,42.01,11855516,3.06,0.78,0.0595,17.7,0.81,6.38,309.533212408219
AA155,JSE,Information Tech,678.26,55722,46.96,74.48,11617152,7.68,0.23,0.0248,17.7,0.62,2.93,356.541362967095
AA156,NSE,Healthcare,779.48,11270.15,89,92.18,1731569,7.73,0.78,0.0401,74.9,1.26,8.63,828.296329151858
AA157,NYSE,Materials,247.7,12765.84,91.57,105.7,19121353,5.68,0.03,0.0464,1,0.69,3.11,967.977957976758
AA158,JSE,Real Estate,320.17,55722,50.32,38.02,14859977,3.1,-0.43,0.0273,17.7,1.01,6.81,198.281179909685
AA159,S&P 500,Information Tech,129.43,3351.28,96.22,152.05,983714,7.53,0.23,0.0414,1,0.79,6.62,1458.34050574523
AA160,NYSE,Materials,390.26,12765.84,94.16,122.72,12202901,7.1,0.03,0.048,1,0.84,2.77,1154.35701438027
AA161,JSE,Real Estate,595.75,55722,37.16,194.26,9552866,2.68,-0.43,0.057,17.7,1.22,5.46,715.361991631818
AA162,NSE,Materials,146.09,11270.15,37.1,14.79,6362027,3.17,0.03,0.0201,74.9,0.88,2.96,63.8387272082701
AA163,S&P 500,Materials,588.9,3351.28,78.21,82.56,16247974,7.09,0.03,0.0251,1,0.85,4.68,650.122826701775
AA164,S&P 500,Information Tech,447.1,3351.28,86.54,175.14,4213522,7.21,0.23,0.0336,1,0.72,7.92,1509.61867712751
AA165,JSE,Healthcare,259.37,55722,66.93,182.81,17117109,3.71,0.78,0.0552,17.7,0.75,9,1216.14963279901
AA166,JSE,Real Estate,658.06,55722,97.79,118.69,6650982,7.57,-0.43,0.0208,17.7,0.88,5.49,1162.54152805394
AA167,BSE,Materials,924.72,38182.08,88.11,123.99,1369241,7.22,0.03,0.0355,74.9,1.29,8.27,1105.16112927245
AA168,JSE,Information Tech,568.57,55722,77.75,60.27,15090586,7.58,0.23,0.0474,17.7,0.71,1.1,475.003228776092
AA169,NYSE,Information Tech,438.52,12765.84,44.29,86.32,7260914,3.09,0.23,0.0176,1,1.27,9.13,385.048161226914
AA170,JSE,Information Tech,522.51,55722,30.26,58.61,9554825,5.24,0.23,0.0479,17.7,0.93,8.84,183.506774611861
AA171,S&P 500,Real Estate,303.08,3351.28,41.01,86.24,8006708,5.29,-0.43,0.0345,1,1.17,5.76,355.820955735176
AA172,NSE,Materials,922.42,11270.15,16.76,55.83,9740618,6.5,0.03,0.0165,74.9,1.14,1.38,113.003813148198
AA173,S&P 500,Energy,67.34,3351.28,20.28,97.22,12441736,7.23,0.11,0.0441,1,0.94,2.66,198.033171200028
AA174,NYSE,Information Tech,434.98,12765.84,77.88,145.61,18188569,6.05,0.23,0.0202,1,0.65,8.38,1130.84931771463
AA175,NSE,Information Tech,277.47,11270.15,22.33,161.66,9721816,6.68,0.23,0.0232,74.9,1.22,5.44,355.840098833388
AA176,NYSE,Energy,675.87,12765.84,55.37,125.77,8500583,7.69,0.11,0.0412,1,0.83,5.58,698.009257076701
AA177,S&P 500,Healthcare,176.68,3351.28,43.37,160.8,3360071,8.29,0.78,0.0306,1,1.17,3.49,692.066036319813
AA178,S&P 500,Real Estate,676.04,3351.28,26.18,25.17,4345003,7.93,-0.43,0.0217,1,0.99,7.49,77.4582728192538
AA179,NSE,Real Estate,281.57,11270.15,89.84,66.66,4133160,3.64,-0.43,0.0489,74.9,0.65,1.38,602.873518682024
AA180,NSE,Materials,135.77,11270.15,10.59,13.95,9014355,6.17,0.03,0.0578,74.9,1.13,6.87,23.8445338806699
AA181,S&P 500,Healthcare,616.76,3351.28,38.95,175.49,6387474,2.84,0.78,0.0329,1,0.72,4.87,679.347425697444
AA182,NSE,Real Estate,336.46,11270.15,71.35,70.91,17443452,6.25,-0.43,0.0249,74.9,1.01,6.73,509.682320910653
AA183,JSE,Information Tech,814.38,,,187.24,5149938,8.1,0.23,0.0279,17.7,1.28,2.35,1666.01889166372
AA184,NYSE,Healthcare,795.72,,,191.28,6375983,6.63,0.78,0.0261,1,0.87,2.11,1391.99273407306
AA185,NYSE,Materials,426.76,,,85.06,3799334,2.79,0.03,0.0475,1,0.85,8.39,795.008863813046
AA186,NYSE,Real Estate,79.16,12765.84,35.97,66.23,16103085,2.72,-0.43,0.0502,1,1,6.81,242.016000230508
AA187,S&P 500,Materials,108.62,3351.28,86.11,47.72,16658188,4.53,0.03,0.0373,1,1.03,6.29,416.553625549618
AA188,S&P 500,Energy,195.01,3351.28,86.5,133.82,14263311,8.2,0.11,0.0537,1,0.89,9.28,1154.74696857637
AA189,NSE,Energy,676.42,11270.15,15,,,3.74,0.11,0.0164,74.9,1.03,1.25,287.076429821315
AA190,S&P 500,Healthcare,793.41,3351.28,98.99,,,5.68,0.78,0.0236,1,1.06,5.45,1703.51531254085
AA191,NSE,Materials,356.5,11270.15,26.43,,,4.23,0.03,0.0567,74.9,0.96,9.52,263.574010795595
AA192,NSE,Materials,218.02,11270.15,21.77,,,4.14,0.03,0.0227,74.9,1.09,3.75,422.281044411871
AA193,NYSE,Materials,60.91,12765.84,37.46,95.21,6842988,7.33,0.03,0.0206,1,0.8,3.57,357.611330663511
AA194,S&P 500,Real Estate,866.94,3351.28,62.78,111.97,2910683,3.61,-0.43,0.0233,1,0.81,5.4,712.869569714096
AA195,BSE,Information Tech,496.16,38182.08,31.97,107.41,11209769,3.19,0.23,0.0505,74.9,0.7,1.49,344.508235036888
AA196,JSE,Real Estate,818.69,55722,71.65,40.68,13189394,7.99,-0.43,0.0547,17.7,1.17,5.6,305.950352778046
AA197,JSE,Information Tech,32.9,55722,17.47,143.91,5299617,4.41,0.23,0.0348,17.7,0.8,5.12,247.780025867809
AA198,JSE,Energy,948.96,55722,22.96,56.2,9574925,3.46,0.11,0.0551,17.7,0.77,7.19,150.676409382398
AA199,NYSE,Healthcare,280.88,12765.84,95.93,41.91,8848606,4.94,,,,,2.17,408.643722749785
AA200,NYSE,Real Estate,88.95,12765.84,90.09,192.05,804657,4.8,,,,,7.62,1721.43870193166
AA201,NYSE,Real Estate,319.14,12765.84,75.01,54.54,13660545,4.75,-0.43,0.0491,1,1.25,0.59,414.411969962162
AA202,NSE,Materials,10.6,11270.15,59.42,197,16940969,4.36,0.03,0.0548,74.9,0.86,4.9,1161.3549195914
AA203,NSE,Information Tech,886.73,11270.15,39.63,76.53,10067020,3.33,0.23,0.0276,74.9,0.85,0.78,318.038412450504
AA204,NSE,Materials,262.64,11270.15,27.87,49.05,1846671,6.96,0.03,0.0315,74.9,1.14,4.04,142.495625037133
AA205,S&P 500,Real Estate,637.61,3351.28,26.35,66.18,3861938,7.1,-0.43,0.0501,1,1.22,2.76,181.191192675319
AA206,NYSE,Real Estate,681.01,12765.84,65.69,76.8,10931351,5.36,-0.43,0.0587,1,1.26,4.2,511.004458281995
AA207,BSE,Healthcare,931.88,38182.08,27.33,104.79,15921548,6.72,0.78,0.0225,74.9,0.93,1.91,301.841045714138
AA208,NSE,Energy,312.82,11270.15,46.87,173.35,15562180,2.97,0.11,0.0225,74.9,0.91,6.43,806.100229085387
AA209,S&P 500,Healthcare,489.88,3351.28,14.31,101.23,14088963,5.32,0.78,0.0203,1,1.28,6.59,146.796614333603
AA210,NYSE,Real Estate,333.68,12765.84,70.31,195.68,10549808,3.63,-0.43,0.0203,1,0.99,9.05,1367.16996601088
AA211,NYSE,Information Tech,134.4,12765.84,65.93,45.74,15821742,7.76,0.23,0.0591,1,1.05,6.23,307.453927155963
AA212,NSE,Real Estate,565.16,11270.15,71.95,155.05,13950010,6.3,-0.43,0.0358,74.9,0.7,9.14,1112.50319751913
AA213,S&P 500,Materials,5.79,3351.28,23.17,15.46,17411745,3.55,0.03,0.0159,1,0.9,5.96,44.6200488768983
