Stock Index,Stock Price
AC3407,178.97229
AC3408,689.8106
AC3409,1194.4103
AC3410,970.1868
AC3411,977.76355
AC3412,1485.0156
AC3413,192.5705
AC3414,304.02304
AC3415,215.61267
AC3416,558.33185
AC3417,862.4781
AC3418,177.33322
AC3419,1323.8533
AC3420,217.49802
AC3421,237.555
AC3422,881.18884
AC3423,118.36332
AC3424,1155.755
AC3425,239.63748
AC3426,107.52714
AC3427,376.05283
AC3428,765.8859
AC3429,783.38086
AC3430,327.0619
AC3431,495.6173
AC3432,499.79395
AC3433,232.09842
AC3434,874.0518
AC3435,1096.9874
AC3436,459.87732
AC3437,148.53119
AC3438,1530.7377
AC3439,169.2128
AC3440,1224.4816
AC3441,429.48422
AC3442,58.124214
AC3443,643.69385
AC3444,181.88007
AC3445,111.130806
AC3446,756.37427
AC3447,892.6593
AC3448,192.36304
AC3449,1074.965
AC3450,228.00809
AC3451,1050.9902
AC3452,753.7426
AC3453,663.80756
AC3454,117.203896
AC3455,789.8874
AC3456,182.14697
AC3457,612.6384
AC3458,715.5253
AC3459,1803.947
AC3460,516.6959
AC3461,1171.6733
AC3462,508.1793
AC3463,1272.236
AC3464,279.1911
AC3465,623.5046
AC3466,179.00998
AC3467,170.32394
AC3468,1385.8939
AC3469,305.30295
AC3470,366.4148
AC3471,831.5589
AC3472,240.87021
AC3473,438.3687
AC3474,446.0555
AC3475,114.70847
AC3476,550.89105
AC3477,1375.5754
AC3478,139.29385
AC3479,244.98209
AC3480,168.2554
AC3481,1102.5925
AC3482,371.84906
AC3483,1030.5399
AC3484,954.1975
AC3485,782.6945
AC3486,127.34486
AC3487,235.95544
AC3488,1734.2678
AC3489,793.7286
AC3490,1594.3766
AC3491,275.85602
AC3492,1224.8906
AC3493,101.46723
AC3494,1291.6464
AC3495,138.05481
AC3496,1291.5315
AC3497,444.03683
AC3498,80.05814
AC3499,384.92517
AC3500,124.172646
AC3501,266.97867
AC3502,276.79114
AC3503,309.70966
AC3504,1119.2775
AC3505,1129.4799
AC3506,467.18518
AC3507,845.8999
AC3508,873.02893
AC3509,381.9068
AC3510,1226.6693
AC3511,1042.7516
AC3512,989.6374
AC3513,535.98724
AC3514,179.19824
AC3515,885.6414
AC3516,552.69806
AC3517,516.91174
AC3518,573.7131
AC3519,1001.1536
AC3520,1735.929
AC3521,791.25934
AC3522,1221.4213
AC3523,963.0844
AC3524,1229.2001
AC3525,763.72754
AC3526,472.34705
AC3527,127.44981
AC3528,99.49995
AC3529,969.2181
AC3530,517.47473
AC3531,604.7741
AC3532,815.9514
AC3533,542.0191
AC3534,798.32275
AC3535,907.0219
AC3536,267.99597
AC3537,152.84738
AC3538,843.99066
AC3539,1281.3048
AC3540,372.92618
AC3541,552.09216
AC3542,333.39334
AC3543,1077.5328
AC3544,421.89645
AC3545,557.7137
AC3546,337.40628
AC3547,581.93005
AC3548,105.193306
AC3549,1641.838
AC3550,862.3945
AC3551,667.5607
AC3552,336.89688
AC3553,891.4596
AC3554,295.44052
AC3555,216.68127
AC3556,746.4961
AC3557,649.64923
AC3558,1350.6764
AC3559,528.1897
AC3560,176.92944
AC3561,217.13446
AC3562,757.54236
AC3563,1091.8079
AC3564,1489.6565
AC3565,714.7294
AC3566,319.80438
AC3567,232.68268
AC3568,170.55502
AC3569,362.78928
AC3570,764.4387
AC3571,607.3313
AC3572,459.58224
AC3573,1319.3873
AC3574,687.0422
AC3575,178.89038
AC3576,543.51355
AC3577,1684.6945
AC3578,127.735146
AC3579,1468.4989
AC3580,142.68488
AC3581,108.531136
AC3582,249.09644
AC3583,690.4986
AC3584,205.6521
AC3585,101.59446
AC3586,408.5327
AC3587,46.85639
AC3588,244.43103
AC3589,163.42133
AC3590,310.94943
AC3591,374.064
AC3592,280.3774
AC3593,88.4683
AC3594,145.80722
AC3595,372.4638
AC3596,837.27844
AC3597,120.95127
AC3598,226.28845
AC3599,1183.9263
AC3600,1297.4076
AC3601,919.0059
AC3602,780.5117
AC3603,1639.8419
AC3604,324.03516
AC3605,746.0432
AC3606,1060.357
AC3607,62.076942
AC3608,1085.2133
AC3609,503.24118
AC3610,193.06726
AC3611,771.9483
AC3612,135.35071
AC3613,1201.2041
AC3614,478.90356
AC3615,444.92078
AC3616,315.20242
AC3617,1337.4248
AC3618,136.04745
AC3619,251.24622
AC3620,234.2302
AC3621,841.2047
AC3622,293.82935
AC3623,303.99667
AC3624,729.27234
AC3625,278.3884
AC3626,116.44898
AC3627,669.3088
AC3628,82.19715
AC3629,70.41288
AC3630,586.05945
AC3631,79.65974
AC3632,161.11923
AC3633,299.79266
AC3634,1430.066
AC3635,299.84277
AC3636,1186.4272
AC3637,365.7943
AC3638,980.98346
AC3639,220.65906
AC3640,897.04504
AC3641,546.31104
AC3642,122.41746
AC3643,623.07697
AC3644,733.2804
AC3645,1110.9613
AC3646,317.16605
AC3647,406.87708
AC3648,233.11118
AC3649,438.7331
AC3650,686.9398
AC3651,1321.1305
AC3652,386.3361
AC3653,644.90063
AC3654,1211.6882
AC3655,391.2085
AC3656,360.55338
AC3657,908.7075
AC3658,346.0945
AC3659,577.6922
AC3660,152.6825
AC3661,147.51517
AC3662,320.18616
AC3663,791.1393
AC3664,437.26608
AC3665,861.8975
AC3666,417.61893
AC3667,624.9012
AC3668,1335.9265
AC3669,1174.6025
AC3670,423.43216
AC3671,94.69959
AC3672,351.9862
AC3673,863.7148
AC3674,898.5914
AC3675,955.24713
AC3676,1369.3342
AC3677,1072.5187
AC3678,1230.2867
AC3679,437.76083
AC3680,614.2646
AC3681,599.9313
AC3682,272.533
AC3683,554.1578
AC3684,521.9188
AC3685,159.45844
AC3686,316.96173
AC3687,813.085
AC3688,220.9082
AC3689,802.1034
AC3690,656.9448
AC3691,501.26483
AC3692,222.00241
AC3693,181.5231
AC3694,241.84415
AC3695,244.04321
AC3696,134.02411
AC3697,349.15396
AC3698,164.94742
AC3699,137.89145
AC3700,1171.7855
AC3701,266.8469
AC3702,447.78342
AC3703,207.77496
AC3704,286.4474
AC3705,679.9229
AC3706,659.3267
AC3707,1511.5651
AC3708,1223.6439
AC3709,513.1935
AC3710,130.88849
AC3711,1985.5712
AC3712,343.4771
AC3713,949.87866
AC3714,1488.015
AC3715,1316.4641
AC3716,225.6969
AC3717,814.67
AC3718,1320.6825
AC3719,1012.1987
AC3720,144.67688
AC3721,319.24927
AC3722,1522.3972
AC3723,986.23914
AC3724,103.677315
AC3725,928.2684
AC3726,116.86091
AC3727,602.9143
AC3728,302.94257
AC3729,350.6453
AC3730,590.55414
AC3731,763.3031
AC3732,532.3496
AC3733,189.45493
AC3734,488.43668
AC3735,360.27145
AC3736,910.7921
AC3737,518.7592
AC3738,376.9995
AC3739,84.30076
AC3740,384.66437
AC3741,1500.5135
AC3742,712.5489
AC3743,835.6803
AC3744,81.16126
AC3745,137.39517
AC3746,346.7334
AC3747,443.0286
AC3748,112.098885
AC3749,508.36603
AC3750,1431.1456
AC3751,61.993843
AC3752,121.092964
AC3753,383.84143
AC3754,682.47864
AC3755,95.0781
AC3756,359.45377
AC3757,353.8965
AC3758,1900.1342
AC3759,542.38116
AC3760,240.64682
AC3761,464.53098
AC3762,557.9355
AC3763,904.7889
AC3764,451.00162
AC3765,319.1253
AC3766,500.54974
AC3767,98.58543
AC3768,1075.5901
AC3769,1097.6615
AC3770,145.63708
AC3771,676.72034
AC3772,550.63727
AC3773,103.3173
AC3774,269.4022
AC3775,61.392433
AC3776,319.7439
AC3777,99.36625
AC3778,963.35815
AC3779,1770.5039
AC3780,127.08408
AC3781,649.2504
AC3782,131.45648
AC3783,590.46844
AC3784,315.9955
AC3785,394.41614
AC3786,420.6572
AC3787,256.98404
AC3788,734.3489
AC3789,1436.041
AC3790,924.187
AC3791,215.14886
AC3792,871.89813
AC3793,310.0137
AC3794,851.0439
AC3795,536.4891
AC3796,312.91742
AC3797,144.40448
AC3798,598.8851
AC3799,1020.17303
AC3800,106.20811
AC3801,97.13984
AC3802,252.27313
AC3803,104.16486
AC3804,6.2888246
AC3805,38.957222
AC3806,800.8071
AC3807,188.27286
AC3808,1452.2225
AC3809,195.73215
AC3810,500.60168
AC3811,328.08374
AC3812,572.3931
AC3813,1089.5529
AC3814,801.0711
AC3815,188.05688
AC3816,795.80194
AC3817,304.186
AC3818,1642.2899
AC3819,96.13654
AC3820,175.73337
AC3821,266.99298
AC3822,246.64606
AC3823,432.80243
AC3824,430.8693
AC3825,400.03992
AC3826,374.79178
AC3827,580.1368
AD1,152.03094
AD2,395.78735
AD3,78.5673
AD4,672.9194
AD5,130.87762
AD6,174.27148
AD7,424.92386
AD8,691.0499
AD9,673.61334
AD10,357.9895
AD11,167.8323
AD12,175.47766
AD13,1048.5066
AD14,732.4303
AD15,1033.504
AD16,640.0421
AD17,772.9344
AD18,582.987
AD19,1508.9478
AD20,245.7403
AD21,858.9909
AD22,1332.0175
AD23,1588.7307
AD24,330.25687
AD25,732.37366
AD26,543.3595
AD27,370.17395
AD28,275.90848
AD29,830.96484
AD30,1106.3826
AD31,288.4425
AD32,425.25482
AD33,498.6562
AD34,223.64618
AD35,666.5905
AD36,196.6842
AD37,54.284554
AD38,1590.103
AD39,770.2435
AD40,485.69666
AD41,80.034645
AD42,202.3435
AD43,136.89087
AD44,828.01355
AD45,1713.1002
AD46,406.91837
AD47,231.63687
AD48,176.46777
AD49,266.05765
AD50,562.2024
AD51,76.63157
AD52,98.49796
AD53,497.64697
AD54,134.62173
AD55,601.827
AD56,1132.6384
AD57,833.2209
AD58,1168.1232
AD59,644.52094
AD60,627.9474
AD61,816.658
AD62,1611.551
AD63,692.1346
AD64,955.7455
AD65,205.93677
AD66,386.9502
AD67,152.49829
AD68,1122.9083
AD69,216.0209
AD70,40.28321
AD71,473.11047
AD72,678.7743
AD73,358.54285
AD74,213.54568
AD75,759.94904
AD76,1369.198
AD77,288.03683
AD78,426.28757
AD79,1531.4265
AD80,731.68134
AD81,1212.9529
AD82,584.62775
AD83,125.37144
AD84,495.9089
AD85,1007.8348
AD86,523.53143
AD87,548.39185
AD88,619.6619
AD89,113.20875
AD90,780.74115
AD91,1350.3185
AD92,245.8613
AD93,584.07874
AD94,506.7228
AD95,160.935
AD96,692.1346
AD97,352.13226
AD98,1074.5645
AD99,72.2447
AD100,803.63367
AD101,231.40335
AD102,112.986885
AD103,153.35178
AD104,282.98328
AD105,933.325
AD106,852.5693
AD107,1222.2408
AD108,1179.0204
AD109,145.42972
AD110,505.11105
AD111,512.6413
AD112,1078.7937
AD113,318.03278
AD114,305.75247
AD115,335.51083
AD116,629.0271
AD117,1116.0126
AD118,138.82697
AD119,361.95523
AD120,98.79459
AD121,134.45914
AD122,613.9017
AD123,50.563423
AD124,567.5306
AD125,612.2245
AD126,472.59464
AD127,1251.2844
AD128,422.58804
AD129,687.74384
AD130,286.75778
AD131,793.49615
AD132,501.2828
AD133,708.83417
AD134,377.90387
AD135,1557.0007
AD136,807.69525
AD137,461.7339
AD138,850.3649
AD139,1487.127
AD140,412.24072
AD141,114.680275
AD142,880.4214
AD143,170.4253
AD144,158.45947
AD145,205.72668
AD146,1201.0106
AD147,910.2699
AD148,806.3665
AD149,1073.3934
AD150,735.85223
AD151,274.1086
AD152,1162.3208
AD153,457.77292
AD154,420.2616
AD155,533.51013
AD156,159.99619
AD157,1364.1714
AD158,398.4225
AD159,757.00476
AD160,1176.8063
AD161,668.52795
AD162,218.84976
AD163,519.3859
AD164,808.1122
AD165,577.3858
AD166,466.2034
AD167,449.71652
AD168,475.83362
AD169,843.46173
AD170,125.89326
AD171,907.23694
AD172,255.71414
AD173,610.1452
AD174,657.727
AD175,341.74466
AD176,316.00806
AD177,433.93036
AD178,1257.0082
AD179,856.4962
AD180,89.33143
AD181,1343.4501
AD182,279.47906
AD183,108.8191
AD184,1312.0038
AD185,465.52194
AD186,1272.5988
AD187,529.78406
AD188,101.22779
AD189,887.3067
AD190,390.50168
AD191,121.88276
AD192,626.1555
AD193,59.157845
AD194,349.4711
AD195,582.76044
AD196,827.70593
AD197,1194.6978
AD198,222.74713
AD199,127.38804
AD200,609.8763
AD201,1217.7618
AD202,138.81598
AD203,549.7931
AD204,1086.6875
AD205,195.12424
AD206,330.72916
AD207,759.54095
AD208,750.43774
AD209,629.8796
AD210,1876.0498
AD211,400.2368
AD212,1120.7727
AD213,1338.9856
AD214,405.5807
AD215,600.15814
AD216,60.64875
AD217,1568.6224
AD218,829.27673
AD219,366.07385
AD220,420.0375
AD221,444.67386
AD222,1290.4957
AD223,66.772804
AD224,826.7948
AD225,469.6118
AD226,1667.7987
AD227,526.88135
AD228,296.5414
AD229,405.24283
AD230,411.71176
AD231,483.2062
AD232,940.08435
AD233,570.1872
AD234,552.255
AD235,291.81723
AD236,346.79852
AD237,428.29248
AD238,752.9768
AD239,912.73016
AD240,1540.8661
AD241,664.70526
AD242,108.304756
AD243,886.87823
AD244,645.0526
AD245,336.37534
AD246,614.0273
AD247,1390.9971
AD248,1444.1685
AD249,310.45276
AD250,813.1387
AD251,645.83295
AD252,1354.4619
AD253,153.10474
AD254,97.03837
AD255,659.6624
AD256,167.08801
AD257,1688.9515
AD258,580.1817
AD259,232.40756
AD260,699.6049
AD261,167.81024
AD262,70.80274
AD263,673.1428
AD264,359.4284
AD265,724.03107
AD266,297.72208
AD267,169.11478
AD268,1032.2872
AD269,774.98193
AD270,1515.3782
AD271,219.49973
AD272,536.37384
AD273,129.75958
AD274,283.12762
AD275,862.50195
AD276,200.56973
AD277,71.46409
AD278,769.2188
AD279,270.15857
AD280,788.5293
AD281,429.12537
AD282,1358.4199
AD283,178.26004
AD284,101.24793
AD285,238.45926
AD286,110.76862
AD287,556.2912
AD288,288.9315
AD289,114.87754
AD290,1698.8981
AD291,187.20816
AD292,730.80133
AD293,705.8326
AD294,790.8602
AD295,275.02722
AD296,527.4993
AD297,56.738716
AD298,772.4829
AD299,887.6833
AD300,330.06305
AD301,207.38483
AD302,354.78326
AD303,520.9294
AD304,977.5683
AD305,641.2603
AD306,400.42075
AD307,193.45273
AD308,424.47232
AD309,220.46103
AD310,157.26724
AD311,722.2055
AD312,1833.563
AD313,1417.9567
AD314,176.97827
AD315,699.1583
AD316,529.6232
AD317,1248.4666
AD318,497.96628
AD319,332.86005
AD320,463.8041
AD321,1160.3583
AD322,364.16284
AD323,84.219215
AD324,693.0382
AD325,1226.3602
AD326,454.89505
AD327,1268.6403
AD328,385.69897
AD329,1125.9949
AD330,860.4697
AD331,481.87756
AD332,470.6464
AD333,387.27133
AD334,-87.02276
AD335,273.002
AD336,139.84961
AD337,509.1827
AD338,240.74799
AD339,1174.3318
AD340,484.85928
AD341,408.46848
AD342,372.51114
AD343,79.628
AD344,1411.3923
AD345,198.4895
AD346,511.2803
AD347,978.88104
AD348,184.09134
AD349,864.1472
AD350,692.1346
AD351,606.0339
AD352,507.4628
AD353,426.3326
AD354,350.4607
AD355,1518.4575
AD356,436.55444
AD357,88.55451
AD358,520.9824
AD359,176.06415
AD360,782.1705
AD361,164.86758
AD362,199.9065
AD363,923.32166
AD364,674.29877
AD365,220.87665
AD366,169.75766
AD367,273.58054
AD368,150.9141
AD369,437.23804
AD370,558.0622
AD371,89.03422
AD372,1419.5549
AD373,1440.0388
AD374,247.11154
AD375,769.00385
AD376,685.7082
AD377,1767.028
AD378,267.37573
AD379,1208.7036
AD380,128.63147
AD381,247.54807
AD382,279.67548
AD383,223.42264
AD384,172.17206
AD385,206.91693
AD386,748.51355
AD387,294.0097
AD388,883.3817
AD389,696.1628
AD390,608.408
AD391,754.7513
AD392,817.5206
AD393,1343.8738
AD394,147.49878
AD395,337.9553
AD396,193.04718
AD397,297.4933
AD398,415.81924
AD399,1266.2715
AD400,225.37024
AD401,860.98175
AD402,226.17166
AD403,720.1406
AD404,1324.8236
AD405,335.0655
AD406,294.75082
AD407,481.45822
AD408,356.88068
AD409,89.49116
AD410,279.54056
AD411,955.0256
AD412,226.29309
AD413,74.24064
AD414,387.74057
AD415,624.43524
AD416,245.66531
AD417,524.13763
AD418,344.47232
AD419,495.5182
AD420,195.0632
AD421,674.75354
AD422,58.38102
AD423,873.66644
AD424,360.10837
AD425,587.4468
AD426,314.5944
AD427,296.03632
AD428,1166.4407
AD429,282.6501
AD430,290.03806
AD431,528.5065
AD432,381.34213
AD433,1397.0792
AD434,412.18414
AD435,610.67365
AD436,113.48582
AD437,250.46469
AD438,692.1346
AD439,88.77982
AD440,108.23664
AD441,449.65518
AD442,388.9064
AD443,475.1824
AD444,298.13034
AD445,946.86957
AD446,308.54987
AD447,1115.1927
AD448,187.72644
AD449,793.55096
AD450,897.2244
AD451,1156.2754
AD452,646.8836
AD453,385.64713
AD454,499.42496
AD455,876.47156
AD456,248.5408
AD457,216.45544
AD458,85.845375
AD459,238.5155
AD460,1636.912
AD461,1429.1621
AD462,576.5418
AD463,1519.9122
AD464,550.50946
AD465,42.866158
AD466,1287.7616
AD467,1009.00604
AD468,188.96655
AD469,344.49017
AD470,1490.6082
AD471,412.21924
AD472,547.53033
AD473,236.32819
AD474,663.5685
AD475,895.455
AD476,1733.9625
AD477,867.3952
AD478,210.91177
AD479,499.80612
AD480,216.14166
AD481,574.8942
AD482,326.97684
AD483,570.01373
AD484,1316.0432
AD485,1356.714
AD486,120.54258
AD487,369.86
AD488,623.28644
AD489,969.89154
AD490,818.3693
AD491,135.2167
AD492,94.65238
AD493,729.7794
AD494,546.4738
AD495,531.0963
AD496,1188.9945
AD497,547.7123
AD498,608.2951
AD499,566.7051
AD500,580.71893
AD501,601.9946
AD502,551.5599
AD503,552.7004
AD504,574.6625
AD505,550.2263
AD506,1175.0192
AD507,206.00339
AD508,662.4018
AD509,679.5898
AD510,138.55698
AD511,115.12089
AD512,505.1542
AD513,365.45166
AD514,79.50318
AD515,130.03333
AD516,357.84073
AD517,343.10727
AD518,848.27637
AD519,1374.5941
AD520,790.5
AD521,1844.4135
AD522,684.2136
AD523,254.02826
AD524,807.56976
AD525,137.6127
AD526,317.6185
AD527,306.21753
AD528,117.71644
AD529,187.99924
AD530,1299.8324
AD531,124.175575
AD532,192.30658
AD533,828.13684
AD534,695.936
AD535,1118.6156
AD536,130.50003
AD537,167.75479
AD538,1124.8468
AD539,573.66876
AD540,134.5621
AD541,552.711
AD542,577.36334
AD543,361.5716
AD544,191.33173
AD545,1546.0286
AD546,56.47712
AD547,374.70215
AD548,279.75873
AD549,981.94275
AD550,369.80768
AD551,711.2649
AD552,374.61426
AD553,138.12576
AD554,590.7756
AD555,355.2686
AD556,377.2258
AD557,410.4171
AD558,454.05917
AD559,1216.5867
AD560,284.2033
AD561,152.28122
AD562,1262.9475
AD563,310.51837
AD564,247.38358
AD565,422.58765
AD566,752.5007
AD567,1191.9633
AD568,469.24603
AD569,243.44345
AD570,890.9669
AD571,1091.3429
AD572,794.28125
AD573,613.4897
AD574,1056.1732
AD575,895.8451
AD576,45.914925
AD577,512.55554
AD578,934.9253
AD579,832.72516
AD580,271.6462
AD581,178.27448
AD582,188.88339
AD583,1532.78
AD584,728.1087
AD585,139.5857
AD586,340.46808
AD587,711.7333
AD588,220.35245
AD589,266.23666
AD590,669.88025
AD591,700.3182
AD592,302.74466
AD593,888.66693
AD594,365.368
AD595,964.8687
AD596,1021.34955
AD597,1705.9058
AD598,1321.3027
AD599,488.60837
AD600,314.18817
AD601,202.1275
AD602,715.11945
AD603,270.2284
AD604,144.37827
AD605,625.31464
AD606,961.1546
AD607,179.04782
AD608,497.9368
AD609,1143.3413
AD610,39.367683
AD611,563.0398
AD612,650.3027
AD613,839.6657
AD614,912.88965
AD615,270.29352
AD616,593.6421
AD617,699.50305
AD618,126.65537
AD619,397.23944
AD620,745.27795
AD621,723.434
AD622,97.3328
AD623,981.3175
AD624,957.4063
AD625,477.65887
AD626,417.69485
AD627,723.62024
AD628,282.47107
AD629,636.7711
AD630,421.7664
AD631,509.03363
AD632,169.70377
AD633,92.384254
AD634,97.46378
AD635,208.37384
AD636,386.14737
AD637,206.93372
AD638,480.80273
AD639,482.0398
AD640,189.96466
AD641,692.1346
AD642,607.0205
AD643,564.4103
AD644,114.670876
AD645,706.7157
AD646,880.77704
AD647,179.97714
AD648,183.4296
AD649,313.45984
AD650,435.2721
AD651,1157.4038
AD652,650.32367
AD653,394.5925
AD654,526.509
AD655,326.00415
AD656,738.4678
AD657,830.92004
AD658,249.29147
AD659,1402.1521
AD660,270.4095
AD661,1335.3721
AD662,291.43228
AD663,153.85916
AD664,335.01242
AD665,209.14062
AD666,436.26645
AD667,221.48944
AD668,356.10468
AD669,349.3707
AD670,1469.458
AD671,664.8902
AD672,620.67773
AD673,1029.9719
AD674,463.00424
AD675,297.46698
AD676,1050.0796
AD677,462.09442
AD678,626.33185
AD679,96.39094
AD680,990.67096
AD681,1704.8068
AD682,649.37
AD683,898.35614
AD684,343.47305
AD685,1688.3269
AD686,1297.662
AD687,423.57108
AD688,1699.6522
AD689,394.8649
AD690,409.71912
AD691,1083.4211
AD692,379.38516
AD693,92.85264
AD694,92.14533
AD695,679.63184
AD696,863.95825
AD697,343.44516
AD698,883.6632
AD699,759.77075
AD700,129.96463
AD701,1011.8032
AD702,997.83826
AD703,537.3851
AD704,426.05975
AD705,204.93631
AD706,174.74963
AD707,859.6748
AD708,700.7486
AD709,468.18176
AD710,126.61405
AD711,476.37222
AD712,489.15732
AD713,190.6513
AD714,41.615974
AD715,247.89337
AD716,554.37665
AD717,227.74225
AD718,497.2572
AD719,1043.0344
AD720,119.66428
AD721,308.41827
AD722,751.26807
AD723,213.86115
AD724,561.57086
AD725,455.9613
AD726,532.19385
AD727,1384.3198
AD728,906.7538
AD729,806.0558
AD730,927.67615
AD731,407.2707
AD732,236.88461
AD733,587.771
AD734,441.5574
AD735,380.82397
AD736,1176.0819
AD737,1268.5112
AD738,406.04312
AD739,824.99207
AD740,489.88574
AD741,147.62854
AD742,869.98895
AD743,477.73904
AD744,1374.196
AD745,121.78001
AD746,105.81519
AD747,1248.352
AD748,956.64374
AD749,549.09015
AD750,350.2453
AD751,1125.2637
AD752,187.49466
AD753,109.29044
AD754,797.7185
AD755,404.67334
AD756,398.86554
AD757,837.59155
AD758,744.51196
AD759,739.71173
AD760,126.61112
AD761,1246.5527
AD762,685.69403
AD763,558.28156
AD764,213.00644
AD765,112.12806
AD766,438.006
AD767,334.81183
AD768,181.97891
AD769,79.02802
AD770,199.69388
AD771,90.3343
AD772,287.88705
AD773,284.23422
AD774,458.1849
AD775,242.30933
AD776,915.7532
AD777,600.7998
AD778,602.1613
AD779,945.03796
AD780,761.0087
AD781,470.64062
AD782,540.0505
AD783,499.99182
AD784,512.35
AD785,83.1753
AD786,353.00024
AD787,364.09863
AD788,294.1528
AD789,828.72095
AD790,224.96191
AD791,1069.3289
AD792,1086.0275
AD793,1757.8114
AD794,452.72882
AD795,917.10535
AD796,701.98114
AD797,1238.7457
AD798,195.43448
AD799,241.54416
AD800,1431.3538
AD801,1299.4287
AD802,309.60068
AD803,753.12573
AD804,192.42719
AD805,909.76154
AD806,178.90378
AD807,1089.5242
AD808,329.40854
AD809,396.5298
AD810,-66.58898
AD811,237.16516
AD812,850.4817
AD813,495.50183
AD814,1248.9789
AD815,260.6927
AD816,1308.7534
AD817,76.25904
AD818,513.00616
AD819,53.11744
AD820,1101.2148
AD821,418.5682
AD822,893.25305
AD823,853.5944
AD824,1031.8829
AD825,322.6438
AD826,345.99747
AD827,604.2571
AD828,342.85693
AD829,545.63544
AD830,248.88315
AD831,89.36793
AD832,161.30286
AD833,341.90244
AD834,249.4419
AD835,710.2365
AD836,214.40866
AD837,673.09644
AD838,1140.413
AD839,1605.8683
AD840,350.47333
AD841,432.17163
AD842,264.66693
AD843,697.56775
AD844,897.48535
AD845,578.3436
AD846,549.6183
AD847,692.1346
AD848,375.5905
AD849,1019.02496
AD850,205.44498
AD851,623.6731
AD852,181.44598
AD853,515.29706
AD854,1721.5526
AD855,249.71146
AD856,1285.4397
AD857,352.5274
AD858,241.64447
AD859,751.39276
AD860,1642.6322
AD861,360.4655
AD862,586.6816
AD863,1317.0956
AD864,111.781105
AD865,660.7413
AD866,1004.7247
AD867,202.91257
AD868,242.11533
AD869,835.1778
AD870,1343.8068
AD871,543.04474
AD872,460.05933
AD873,174.38107
AD874,571.91785
